car,battery_capacity,profile,arrival_time_in_minutes,waiting_time_in_minutes,current_battery_level,willingness_to_pay_extra_per_kwh,willingness_to_release,target_battery_level,soc,ocv
Audi Q4 e-tron,52000,STANDARD,34405,1,12672,0.19,0.24,36035,0.24369230769230768,3.4518
Tesla Model Y,75000,STANDARD,713,2,11812,0.07,0.38,49759,0.15749333333333335,3.2917
Volvo EX30,51000,STANDARD,10724,0,7336,0.27,0.26,32694,0.14384313725490197,3.2681
Tesla Model 3,75000,STANDARD,31162,0,18101,0.09,0.31,74322,0.24134666666666665,3.4478
Tesla Model Y,75000,STANDARD,16294,0,13253,0.1,0.26,64463,0.17670666666666668,3.3296
Skoda Enyaq,77000,STANDARD,40016,1,10886,0.08,0.21,64118,0.14137662337662338,3.2639
Tesla Model Y,75000,STANDARD,10577,0,12635,0.06,0.3,65050,0.16846666666666665,3.3134
Tesla Model 3,75000,STANDARD,38735,3,16797,0.3,0.3,36918,0.22396,3.418
Tesla Model Y,75000,STANDARD,32262,2,13356,0.07,0.22,68946,0.17808,3.3323
Tesla Model Y,75000,STANDARD,19335,4,17772,0.33,0.27,61600,0.23696,3.4403
Skoda Enyaq,77000,STANDARD,42161,4,10723,0.05,0.37,49884,0.13925974025974025,3.2603
Tesla Model Y,75000,STANDARD,36029,4,6977,0.17,0.21,54227,0.09302666666666666,3.1702
Tesla Model Y,75000,STANDARD,35952,2,6373,0.09,0.23,29497,0.08497333333333333,3.1493
Tesla Model Y,75000,STANDARD,31930,1,13845,0.02,0.4,67968,0.1846,3.3452
Volvo EX30,51000,STANDARD,15106,2,13474,0.11,0.28,28954,0.26419607843137255,3.4804
Tesla Model 3,75000,STANDARD,30923,4,17965,0.07,0.36,45869,0.23953333333333332,3.4447
Tesla Model Y,75000,STANDARD,22744,2,9403,0.0,0.3,57850,0.12537333333333334,3.2367
Skoda Enyaq,77000,STANDARD,33825,0,5184,0.34,0.38,59668,0.06732467532467533,3.1034
Skoda Enyaq,77000,STANDARD,11118,3,12890,0.2,0.27,71543,0.16740259740259741,3.3113
Tesla Model Y,75000,STANDARD,9893,0,8728,0.27,0.26,70623,0.11637333333333333,3.2215
Skoda Enyaq,77000,STANDARD,42711,1,7339,0.15,0.39,55312,0.0953116883116883,3.1762
Volvo EX30,51000,STANDARD,21131,0,18654,0.12,0.36,35291,0.36576470588235294,3.5843
Volvo EX30,51000,STANDARD,41560,3,7606,0.11,0.27,32313,0.14913725490196078,3.277
Volvo EX30,51000,STANDARD,19663,4,12465,0.33,0.29,35378,0.24441176470588236,3.453
Tesla Model Y,75000,STANDARD,29617,3,11977,0.25,0.36,69905,0.15969333333333333,3.2961
Tesla Model Y,75000,STANDARD,14521,1,10641,0.13,0.29,48164,0.14188,3.2647
Tesla Model Y,75000,STANDARD,2723,3,6919,0.04,0.29,38479,0.09225333333333334,3.1682
Skoda Enyaq,77000,STANDARD,4173,2,5279,0.24,0.27,66651,0.06855844155844155,3.1066
Audi Q4 e-tron,52000,STANDARD,9977,4,9948,0.12,0.39,48309,0.19130769230769232,3.3584
Skoda Enyaq,77000,STANDARD,19420,1,6493,0.04,0.37,65798,0.08432467532467533,3.1476
Skoda Enyaq,77000,STANDARD,17195,3,19968,0.33,0.28,36513,0.25932467532467535,3.4755
Volvo EX30,51000,STANDARD,38708,4,8350,0.34,0.36,26709,0.16372549019607843,3.304
Volvo EX30,51000,STANDARD,13052,3,10418,0.06,0.24,42833,0.20427450980392156,3.384
Tesla Model Y,75000,STANDARD,6977,1,17326,0.17,0.38,61897,0.23101333333333332,3.4301
Volvo EX30,51000,STANDARD,22275,2,17705,0.23,0.27,44880,0.34715686274509805,3.561
Tesla Model Y,75000,STANDARD,32305,3,13902,0.2,0.39,50892,0.18536,3.3467
Skoda Enyaq,77000,STANDARD,29098,2,14425,0.22,0.21,63846,0.18733766233766233,3.3506
Skoda Enyaq,77000,STANDARD,42685,1,17646,0.21,0.22,42026,0.22916883116883116,3.4269
Tesla Model Y,75000,STANDARD,30439,3,7300,0.1,0.37,60148,0.09733333333333333,3.1814
Tesla Model Y,75000,STANDARD,23786,2,16096,0.06,0.33,46947,0.21461333333333332,3.402
Tesla Model Y,75000,STANDARD,43125,1,12839,0.02,0.3,56016,0.17118666666666665,3.3187
Skoda Enyaq,77000,STANDARD,26257,0,8847,0.27,0.2,24507,0.1148961038961039,3.219
Volvo EX30,51000,STANDARD,3986,4,15948,0.2,0.2,44778,0.31270588235294117,3.5284
Audi Q4 e-tron,52000,STANDARD,8229,1,6541,0.13,0.21,44130,0.12578846153846154,3.2374
Tesla Model 3,75000,STANDARD,1663,4,16988,0.03,0.29,55177,0.22650666666666666,3.4224
Volvo EX30,51000,STANDARD,16568,0,9152,0.26,0.29,35452,0.17945098039215687,3.335
Tesla Model Y,75000,STANDARD,40330,1,11490,0.28,0.34,50550,0.1532,3.2839
Audi Q4 e-tron,52000,STANDARD,27269,1,8623,0.04,0.33,23744,0.16582692307692307,3.3082
Tesla Model 3,75000,STANDARD,19339,1,11042,0.25,0.24,39474,0.14722666666666667,3.2738
Volvo EX30,51000,STANDARD,29251,2,16701,0.09,0.32,46508,0.3274705882352941,3.5424
Skoda Enyaq,77000,STANDARD,35168,4,17491,0.35,0.38,67949,0.22715584415584417,3.4235
Skoda Enyaq,77000,STANDARD,34689,4,16656,0.31,0.23,43749,0.21631168831168832,3.4049
Audi Q4 e-tron,52000,STANDARD,7228,1,18630,0.06,0.31,47687,0.3582692307692308,3.5734
Tesla Model Y,75000,STANDARD,1295,0,6401,0.14,0.39,68249,0.08534666666666667,3.1502
Tesla Model Y,75000,STANDARD,10239,0,8226,0.14,0.35,58686,0.10968,3.2101
Tesla Model Y,75000,STANDARD,35949,3,6039,0.22,0.36,73395,0.08052,3.1377
Audi Q4 e-tron,52000,STANDARD,11127,0,14968,0.03,0.38,46894,0.28784615384615386,3.504
Tesla Model Y,75000,STANDARD,4902,1,6936,0.32,0.23,49949,0.09248,3.1688
Skoda Enyaq,77000,STANDARD,9349,4,6202,0.05,0.21,64379,0.08054545454545455,3.1378
Tesla Model Y,75000,STANDARD,19987,1,11351,0.18,0.37,29879,0.15134666666666666,3.2808
Volvo EX30,51000,STANDARD,7608,4,14104,0.12,0.37,48026,0.2765490196078431,3.4927
Skoda Enyaq,77000,STANDARD,12378,0,7345,0.22,0.35,61883,0.09538961038961039,3.1764
Skoda Enyaq,77000,STANDARD,13466,1,7997,0.03,0.21,56685,0.10385714285714286,3.1984
Audi Q4 e-tron,52000,STANDARD,4648,2,5122,0.05,0.25,36968,0.0985,3.1845
Skoda Enyaq,77000,STANDARD,798,2,19959,0.05,0.38,72922,0.2592077922077922,3.4754
Audi Q4 e-tron,52000,STANDARD,6803,3,14262,0.01,0.27,48175,0.27426923076923077,3.4905
Audi Q4 e-tron,52000,STANDARD,24409,4,9314,0.26,0.4,40883,0.17911538461538462,3.3344
Tesla Model Y,75000,STANDARD,37229,0,16332,0.14,0.29,67039,0.21776,3.4074
Tesla Model 3,75000,STANDARD,16137,4,5978,0.0,0.3,74222,0.07970666666666666,3.1356
Tesla Model Y,75000,STANDARD,3409,3,18153,0.12,0.21,51646,0.24204,3.449
Tesla Model Y,75000,STANDARD,14109,4,8973,0.3,0.37,60055,0.11964,3.227
Audi Q4 e-tron,52000,STANDARD,23888,4,6403,0.24,0.28,49463,0.12313461538461538,3.2329
Skoda Enyaq,77000,STANDARD,25434,0,9795,0.11,0.23,65122,0.12720779220779221,3.2398
Tesla Model Y,75000,STANDARD,35487,2,10071,0.24,0.3,63210,0.13428,3.2518
Tesla Model 3,75000,STANDARD,10393,4,6810,0.08,0.26,35159,0.0908,3.1644
Tesla Model Y,75000,STANDARD,9115,4,10909,0.13,0.35,40460,0.14545333333333332,3.2708
Audi Q4 e-tron,52000,STANDARD,14337,0,17928,0.1,0.2,48387,0.3447692307692308,3.5587
Skoda Enyaq,77000,STANDARD,35888,0,5891,0.06,0.23,68739,0.07650649350649351,3.1273
Tesla Model Y,75000,STANDARD,38569,4,16794,0.07,0.31,68763,0.22392,3.4179
Skoda Enyaq,77000,STANDARD,34652,1,10616,0.04,0.21,37195,0.13787012987012986,3.2579
Audi Q4 e-tron,52000,STANDARD,36245,3,15242,0.13,0.36,44122,0.2931153846153846,3.5093
Tesla Model Y,75000,STANDARD,18271,0,12173,0.16,0.39,65949,0.16230666666666665,3.3012
Volvo EX30,51000,STANDARD,33851,4,10197,0.12,0.29,37940,0.19994117647058823,3.3754
Tesla Model Y,75000,STANDARD,4673,3,18068,0.07,0.38,40676,0.24090666666666666,3.447
Tesla Model Y,75000,STANDARD,35813,4,13294,0.0,0.37,53475,0.17725333333333335,3.3307
Volvo EX30,51000,STANDARD,21758,4,18914,0.17,0.34,38563,0.37086274509803924,3.5917
Tesla Model Y,75000,STANDARD,26692,2,10311,0.13,0.37,72298,0.13748,3.2573
Tesla Model Y,75000,STANDARD,36611,1,7520,0.28,0.31,33365,0.10026666666666667,3.189
Volvo EX30,51000,STANDARD,9064,3,5572,0.07,0.4,23158,0.10925490196078431,3.2094
Audi Q4 e-tron,52000,STANDARD,40206,3,5404,0.25,0.33,33910,0.10392307692307692,3.1986
Volvo EX30,51000,STANDARD,6587,0,8793,0.09,0.36,49271,0.17241176470588235,3.3211
Tesla Model Y,75000,STANDARD,14589,2,16599,0.31,0.23,55855,0.22132,3.4135
Audi Q4 e-tron,52000,STANDARD,21423,1,7084,0.09,0.28,47860,0.13623076923076924,3.2551
Volvo EX30,51000,STANDARD,41372,4,7355,0.21,0.24,42886,0.1442156862745098,3.2687
Skoda Enyaq,77000,STANDARD,25394,0,8894,0.23,0.32,24416,0.1155064935064935,3.22
Audi Q4 e-tron,52000,STANDARD,24010,1,9206,0.25,0.3,27178,0.17703846153846153,3.3303
Tesla Model Y,75000,STANDARD,22226,2,15748,0.24,0.27,30961,0.20997333333333335,3.394
Tesla Model Y,75000,STANDARD,3952,2,11857,0.07,0.35,30665,0.15809333333333334,3.2929
Volvo EX30,51000,STANDARD,29106,3,5555,0.04,0.28,26841,0.10892156862745098,3.2088
Volvo EX30,51000,STANDARD,20531,4,17413,0.33,0.39,47511,0.3414313725490196,3.5556
Tesla Model Y,75000,STANDARD,40561,4,6351,0.33,0.3,29133,0.08468,3.1485
Tesla Model 3,75000,STANDARD,16509,0,10642,0.11,0.31,29424,0.14189333333333334,3.2648
Volvo EX30,51000,STANDARD,25249,0,15627,0.1,0.26,43182,0.30641176470588233,3.5225
Audi Q4 e-tron,52000,STANDARD,42866,1,7394,0.27,0.37,44109,0.1421923076923077,3.2653
Skoda Enyaq,77000,STANDARD,11881,4,19635,0.08,0.38,71226,0.255,3.4712
Tesla Model 3,75000,STANDARD,14808,0,14347,0.02,0.2,35902,0.19129333333333334,3.3584
Volvo EX30,51000,STANDARD,22622,3,17345,0.21,0.23,41487,0.34009803921568627,3.5543
Volvo EX30,51000,STANDARD,33823,3,6863,0.17,0.29,38311,0.1345686274509804,3.2523
Skoda Enyaq,77000,STANDARD,17386,1,14917,0.03,0.36,36449,0.19372727272727272,3.3632
Tesla Model Y,75000,STANDARD,10060,0,18790,0.13,0.21,69690,0.25053333333333333,3.4635
Tesla Model Y,75000,STANDARD,30395,2,17572,0.01,0.37,62428,0.23429333333333333,3.4357
Audi Q4 e-tron,52000,STANDARD,41382,2,7815,0.2,0.3,44570,0.15028846153846154,3.279
Volvo EX30,51000,STANDARD,9502,0,19939,0.17,0.36,39022,0.3909607843137255,3.6207
Volvo EX30,51000,STANDARD,6876,4,11701,0.31,0.26,43818,0.2294313725490196,3.4274
Skoda Enyaq,77000,STANDARD,28116,3,6025,0.12,0.22,76332,0.07824675324675325,3.1318
Volvo EX30,51000,STANDARD,41175,2,18456,0.1,0.35,39877,0.3618823529411765,3.5787
Tesla Model 3,75000,STANDARD,7191,0,10832,0.04,0.32,42089,0.14442666666666668,3.269
Skoda Enyaq,77000,STANDARD,38177,4,17274,0.22,0.23,39278,0.22433766233766234,3.4186
Volvo EX30,51000,STANDARD,18048,4,10112,0.02,0.33,29276,0.19827450980392156,3.3721
Audi Q4 e-tron,52000,STANDARD,22339,1,19198,0.02,0.34,35871,0.3691923076923077,3.5892
Volvo EX30,51000,STANDARD,36953,1,13030,0.22,0.28,34467,0.2554901960784314,3.4717
Tesla Model Y,75000,STANDARD,32253,2,8749,0.23,0.27,51001,0.11665333333333333,3.2219
Tesla Model Y,75000,STANDARD,4820,1,5675,0.12,0.35,32331,0.07566666666666666,3.1251
Skoda Enyaq,77000,STANDARD,13741,1,17329,0.22,0.34,67365,0.22505194805194806,3.4199
Tesla Model 3,75000,STANDARD,18932,3,9029,0.22,0.4,53805,0.12038666666666667,3.2283
Skoda Enyaq,77000,STANDARD,13486,2,7608,0.02,0.25,53664,0.0988051948051948,3.1852
Tesla Model 3,75000,STANDARD,27231,3,18101,0.26,0.22,55913,0.24134666666666665,3.4478
Audi Q4 e-tron,52000,STANDARD,23727,2,19808,0.11,0.23,38373,0.3809230769230769,3.6062
Tesla Model 3,75000,STANDARD,2425,1,7340,0.23,0.27,65835,0.09786666666666667,3.1828
Tesla Model Y,75000,STANDARD,39841,1,9526,0.05,0.38,57087,0.12701333333333334,3.2395
Tesla Model Y,75000,STANDARD,39985,3,19130,0.28,0.2,74522,0.25506666666666666,3.4713
Tesla Model Y,75000,STANDARD,25726,4,18449,0.25,0.23,44397,0.24598666666666666,3.4557
Volvo EX30,51000,STANDARD,23107,3,11819,0.09,0.3,43581,0.2317450980392157,3.4313
Volvo EX30,51000,STANDARD,42893,3,15086,0.05,0.33,34028,0.29580392156862745,3.512
Tesla Model 3,75000,STANDARD,14124,4,5429,0.28,0.2,50031,0.07238666666666667,3.1165
Audi Q4 e-tron,52000,STANDARD,21847,4,16905,0.32,0.2,42346,0.32509615384615387,3.5401
Tesla Model Y,75000,STANDARD,31489,2,19034,0.01,0.3,69722,0.25378666666666666,3.4691
Volvo EX30,51000,STANDARD,6844,3,15281,0.17,0.27,41458,0.2996274509803922,3.5158
Audi Q4 e-tron,52000,STANDARD,33752,3,11811,0.0,0.26,29886,0.22713461538461538,3.4234
Volvo EX30,51000,STANDARD,22541,0,18083,0.35,0.29,40895,0.3545686274509804,3.5681
Skoda Enyaq,77000,STANDARD,6427,1,11488,0.25,0.23,27970,0.14919480519480519,3.2771
Skoda Enyaq,77000,STANDARD,10118,1,8684,0.15,0.35,75063,0.11277922077922078,3.2154
Audi Q4 e-tron,52000,STANDARD,14227,0,17630,0.19,0.37,33060,0.3390384615384615,3.5533
Skoda Enyaq,77000,STANDARD,409,1,16648,0.11,0.28,72343,0.2162077922077922,3.4047
Tesla Model Y,75000,STANDARD,39385,3,18735,0.27,0.23,74559,0.2498,3.4623
Skoda Enyaq,77000,STANDARD,35282,0,5670,0.25,0.25,63580,0.07363636363636364,3.1198
Tesla Model Y,75000,STANDARD,11649,1,10076,0.14,0.29,52804,0.13434666666666667,3.252
Tesla Model Y,75000,STANDARD,16507,0,10500,0.26,0.39,40513,0.14,3.2615
Tesla Model 3,75000,STANDARD,36837,0,13007,0.34,0.33,56926,0.17342666666666667,3.3232
Audi Q4 e-tron,52000,STANDARD,40075,2,6753,0.13,0.23,29573,0.1298653846153846,3.2443
Tesla Model Y,75000,STANDARD,16777,2,11496,0.23,0.3,31856,0.15328,3.2841
Tesla Model Y,75000,STANDARD,28042,3,12479,0.05,0.38,68608,0.16638666666666665,3.3093
Skoda Enyaq,77000,STANDARD,9710,1,18216,0.16,0.34,36423,0.23657142857142857,3.4396
Skoda Enyaq,77000,STANDARD,15035,1,11509,0.28,0.29,45353,0.14946753246753247,3.2776
Audi Q4 e-tron,52000,STANDARD,27554,3,17290,0.25,0.21,34152,0.3325,3.5471
Tesla Model Y,75000,STANDARD,4036,1,5382,0.25,0.36,41033,0.07176,3.1149
Volvo EX30,51000,STANDARD,24759,1,19577,0.05,0.32,49046,0.3838627450980392,3.6105
Tesla Model Y,75000,STANDARD,7369,3,15885,0.25,0.31,58720,0.2118,3.3971
Volvo EX30,51000,STANDARD,26793,0,17367,0.24,0.25,32747,0.34052941176470586,3.5547
Volvo EX30,51000,STANDARD,15840,2,18555,0.3,0.27,41701,0.3638235294117647,3.5815
Volvo EX30,51000,STANDARD,8025,1,7074,0.25,0.33,44103,0.13870588235294118,3.2593
Skoda Enyaq,77000,STANDARD,39544,4,6640,0.34,0.25,45367,0.08623376623376623,3.1526
Tesla Model Y,75000,STANDARD,15219,2,10235,0.18,0.27,66723,0.13646666666666665,3.2555
Tesla Model Y,75000,STANDARD,34202,0,7040,0.23,0.24,61735,0.09386666666666667,3.1724
Skoda Enyaq,77000,STANDARD,28231,1,16061,0.33,0.39,55486,0.2085844155844156,3.3916
Tesla Model Y,75000,STANDARD,30774,3,18654,0.13,0.27,70779,0.24872,3.4604
Tesla Model Y,75000,STANDARD,13079,2,12874,0.11,0.36,29483,0.17165333333333332,3.3197
Tesla Model Y,75000,STANDARD,14123,2,5009,0.3,0.28,43654,0.06678666666666666,3.102
Skoda Enyaq,77000,STANDARD,7877,3,14087,0.06,0.27,29957,0.18294805194805194,3.3419
Volvo EX30,51000,STANDARD,36173,0,16283,0.19,0.23,43150,0.3192745098039216,3.5346
Tesla Model Y,75000,STANDARD,198,0,11901,0.04,0.21,27258,0.15868,3.2941
Tesla Model Y,75000,STANDARD,28378,0,17757,0.32,0.29,61857,0.23676,3.4399
Tesla Model Y,75000,STANDARD,39358,2,15780,0.02,0.21,46680,0.2104,3.3947
Tesla Model Y,75000,STANDARD,22466,2,12798,0.03,0.38,61766,0.17064,3.3177
Tesla Model 3,75000,STANDARD,31048,1,17923,0.26,0.21,57811,0.23897333333333334,3.4437
Tesla Model Y,75000,STANDARD,4665,0,16913,0.2,0.25,49808,0.22550666666666666,3.4206
Audi Q4 e-tron,52000,STANDARD,23019,2,12168,0.21,0.24,44914,0.234,3.4352
Tesla Model Y,75000,STANDARD,5267,2,13900,0.34,0.34,68489,0.18533333333333332,3.3466
Tesla Model Y,75000,STANDARD,36376,2,5360,0.07,0.39,45996,0.07146666666666666,3.1141
Tesla Model Y,75000,STANDARD,22324,1,10168,0.11,0.38,39993,0.13557333333333332,3.254
Audi Q4 e-tron,52000,STANDARD,28725,2,14236,0.15,0.36,32971,0.27376923076923076,3.49
Tesla Model 3,75000,STANDARD,21504,1,13574,0.21,0.26,73138,0.18098666666666666,3.3381
Tesla Model Y,75000,STANDARD,39505,0,12401,0.19,0.31,53955,0.16534666666666667,3.3072
Tesla Model Y,75000,STANDARD,31644,0,15687,0.06,0.24,64436,0.20916,3.3926
Tesla Model Y,75000,STANDARD,33285,2,15656,0.28,0.3,58251,0.20874666666666666,3.3919
Skoda Enyaq,77000,STANDARD,18024,1,8884,0.22,0.33,72216,0.11537662337662338,3.2198
Tesla Model Y,75000,STANDARD,40325,4,12071,0.2,0.32,31313,0.16094666666666665,3.2985
Tesla Model Y,75000,STANDARD,4111,0,9849,0.33,0.33,26308,0.13132,3.2468
Tesla Model 3,75000,STANDARD,13899,0,10023,0.04,0.38,48875,0.13364,3.2508
Volvo EX30,51000,STANDARD,41342,2,5301,0.28,0.31,26691,0.10394117647058823,3.1986
Skoda Enyaq,77000,STANDARD,26480,3,17867,0.0,0.37,52657,0.23203896103896104,3.4318
Tesla Model Y,75000,STANDARD,13253,2,10256,0.08,0.2,74359,0.13674666666666666,3.256
Tesla Model Y,75000,STANDARD,1354,4,19712,0.35,0.38,46245,0.26282666666666665,3.479
Tesla Model Y,75000,STANDARD,10961,2,11506,0.28,0.2,69730,0.15341333333333335,3.2843
Tesla Model Y,75000,STANDARD,37782,1,6118,0.0,0.31,64546,0.08157333333333333,3.1404
Volvo EX30,51000,STANDARD,4761,0,18273,0.03,0.21,43978,0.3582941176470588,3.5735
Tesla Model 3,75000,STANDARD,37026,1,15497,0.19,0.27,30819,0.20662666666666665,3.3883
Volvo EX30,51000,STANDARD,19774,1,9563,0.03,0.33,44857,0.18750980392156863,3.3509
Audi Q4 e-tron,52000,STANDARD,42749,3,5911,0.02,0.34,29914,0.11367307692307692,3.2169
Volvo EX30,51000,STANDARD,34450,3,7843,0.24,0.31,31158,0.1537843137254902,3.2849
Tesla Model Y,75000,STANDARD,9983,4,17093,0.11,0.39,38232,0.22790666666666667,3.4248
Tesla Model Y,75000,STANDARD,20988,0,10126,0.25,0.37,55485,0.13501333333333335,3.2531
Volvo EX30,51000,STANDARD,23251,1,17972,0.11,0.35,37909,0.3523921568627451,3.5659
Tesla Model Y,75000,STANDARD,28704,3,7739,0.23,0.29,46647,0.10318666666666666,3.1966
Volvo EX30,51000,STANDARD,31494,2,5644,0.02,0.29,26249,0.11066666666666666,3.2118
Volvo EX30,51000,STANDARD,7994,1,11887,0.07,0.33,38381,0.23307843137254902,3.4336
Tesla Model 3,75000,STANDARD,12583,0,16897,0.32,0.33,51636,0.22529333333333335,3.4203
Volvo EX30,51000,STANDARD,15648,3,19449,0.11,0.4,41951,0.38135294117647056,3.6068
Skoda Enyaq,77000,STANDARD,20900,2,5881,0.14,0.37,41498,0.07637662337662338,3.1269
Audi Q4 e-tron,52000,STANDARD,9497,0,8306,0.33,0.28,39149,0.15973076923076923,3.2961
Volvo EX30,51000,STANDARD,15102,3,16297,0.21,0.34,43226,0.31954901960784315,3.5349
Tesla Model 3,75000,STANDARD,35259,4,19810,0.12,0.28,64268,0.26413333333333333,3.4803
Tesla Model Y,75000,STANDARD,42559,1,10074,0.29,0.38,39097,0.13432,3.2519
Audi Q4 e-tron,52000,STANDARD,3726,0,9282,0.32,0.29,48889,0.1785,3.3332
Audi Q4 e-tron,52000,STANDARD,37959,2,5530,0.14,0.37,25676,0.10634615384615384,3.2045
Audi Q4 e-tron,52000,STANDARD,2095,0,9183,0.17,0.31,44176,0.17659615384615385,3.3294
Tesla Model Y,75000,STANDARD,3391,0,17485,0.33,0.22,72103,0.23313333333333333,3.4337
Volvo EX30,51000,STANDARD,5046,3,8893,0.12,0.24,25977,0.17437254901960783,3.325
Audi Q4 e-tron,52000,STANDARD,6557,0,7128,0.12,0.36,36027,0.13707692307692307,3.2566
Tesla Model Y,75000,STANDARD,41607,1,7674,0.25,0.33,45170,0.10232,3.1944
Tesla Model 3,75000,STANDARD,28037,1,18850,0.34,0.29,56570,0.25133333333333335,3.4649
Tesla Model Y,75000,STANDARD,7840,1,18761,0.06,0.37,46851,0.2501466666666667,3.4629
Tesla Model 3,75000,STANDARD,28447,3,8107,0.28,0.2,58480,0.10809333333333333,3.2074
Volvo EX30,51000,STANDARD,36673,4,8256,0.12,0.33,34074,0.16188235294117648,3.3004
Tesla Model 3,75000,STANDARD,42204,0,15949,0.04,0.29,46320,0.21265333333333333,3.3986
Tesla Model Y,75000,STANDARD,15157,1,18886,0.31,0.22,72180,0.25181333333333333,3.4657
Skoda Enyaq,77000,STANDARD,23556,0,6412,0.19,0.36,72661,0.08327272727272728,3.1449
Tesla Model 3,75000,STANDARD,1267,2,16484,0.27,0.36,44342,0.21978666666666666,3.4108
Skoda Enyaq,77000,STANDARD,33766,3,5109,0.3,0.3,74077,0.06635064935064935,3.1008
Tesla Model Y,75000,STANDARD,2526,4,9315,0.35,0.37,39301,0.1242,3.2347
Volvo EX30,51000,STANDARD,9764,1,15427,0.28,0.25,50600,0.30249019607843136,3.5187
Volvo EX30,51000,STANDARD,1563,0,7448,0.1,0.35,26251,0.1460392156862745,3.2718
Audi Q4 e-tron,52000,STANDARD,32459,3,6681,0.18,0.3,39787,0.12848076923076923,3.242
Skoda Enyaq,77000,STANDARD,36609,1,17406,0.28,0.24,61832,0.22605194805194806,3.4216
Audi Q4 e-tron,52000,STANDARD,21804,3,13249,0.13,0.36,43179,0.2547884615384615,3.4708
Skoda Enyaq,77000,STANDARD,689,2,19462,0.06,0.34,50036,0.25275324675324673,3.4673
Volvo EX30,51000,STANDARD,12748,0,7616,0.09,0.25,39855,0.14933333333333335,3.2774
Volvo EX30,51000,STANDARD,1805,1,14251,0.28,0.23,41482,0.2794313725490196,3.4956
Skoda Enyaq,77000,STANDARD,20837,0,13264,0.13,0.2,62762,0.17225974025974025,3.3209
Tesla Model Y,75000,STANDARD,26559,4,16432,0.14,0.27,52218,0.21909333333333333,3.4096
Skoda Enyaq,77000,STANDARD,22793,2,17219,0.28,0.35,33756,0.2236233766233766,3.4174
Tesla Model Y,75000,STANDARD,20587,3,15237,0.01,0.39,40844,0.20316,3.3818
Skoda Enyaq,77000,STANDARD,21103,0,17033,0.21,0.36,42817,0.22120779220779221,3.4133
Skoda Enyaq,77000,STANDARD,19306,1,6574,0.25,0.25,49464,0.08537662337662337,3.1503
Volvo EX30,51000,STANDARD,41551,4,17590,0.27,0.29,36885,0.34490196078431373,3.5588
Volvo EX30,51000,STANDARD,30635,3,18308,0.27,0.31,42152,0.3589803921568627,3.5745
Tesla Model 3,75000,STANDARD,38684,3,12021,0.14,0.34,54403,0.16028,3.2972
Volvo EX30,51000,STANDARD,14746,3,5842,0.29,0.39,42353,0.11454901960784314,3.2184
Tesla Model Y,75000,STANDARD,29346,4,14546,0.14,0.31,67325,0.19394666666666666,3.3636
Tesla Model Y,75000,STANDARD,6928,1,16085,0.05,0.28,71849,0.21446666666666667,3.4017
Tesla Model 3,75000,STANDARD,10836,1,17390,0.11,0.28,48783,0.23186666666666667,3.4315
Skoda Enyaq,77000,STANDARD,8348,2,18264,0.3,0.3,33768,0.2371948051948052,3.4407
Skoda Enyaq,77000,STANDARD,37557,4,10518,0.05,0.23,73568,0.1365974025974026,3.2558
Volvo EX30,51000,STANDARD,26889,0,12190,0.08,0.23,33853,0.23901960784313725,3.4438
Volvo EX30,51000,STANDARD,37404,3,10816,0.06,0.23,28137,0.21207843137254903,3.3976
Audi Q4 e-tron,52000,STANDARD,36314,4,18416,0.12,0.26,37106,0.35415384615384615,3.5676
Skoda Enyaq,77000,STANDARD,25048,1,15781,0.19,0.22,53650,0.20494805194805193,3.3853
Tesla Model Y,75000,STANDARD,850,3,12690,0.08,0.26,69758,0.1692,3.3148
Tesla Model 3,75000,STANDARD,34026,2,9739,0.08,0.36,27161,0.12985333333333332,3.2443
Tesla Model Y,75000,STANDARD,8172,2,7475,0.01,0.27,38450,0.09966666666666667,3.1875
Tesla Model Y,75000,STANDARD,31147,3,16554,0.06,0.4,43245,0.22072,3.4124
Tesla Model Y,75000,STANDARD,816,4,13608,0.04,0.36,31154,0.18144,3.339
Skoda Enyaq,77000,STANDARD,17806,3,15043,0.16,0.37,57738,0.19536363636363635,3.3664
Tesla Model Y,75000,STANDARD,878,1,12982,0.15,0.32,42726,0.17309333333333332,3.3225
Tesla Model Y,75000,STANDARD,6352,1,6024,0.03,0.32,55679,0.08032,3.1372
Tesla Model Y,75000,STANDARD,41982,2,11274,0.19,0.37,29418,0.15032,3.279
Volvo EX30,51000,STANDARD,14687,0,13277,0.13,0.22,36700,0.26033333333333336,3.4765
Tesla Model Y,75000,STANDARD,15695,2,11085,0.06,0.38,64528,0.1478,3.2748
Tesla Model Y,75000,STANDARD,37306,1,18535,0.32,0.36,54602,0.24713333333333334,3.4577
Tesla Model 3,75000,STANDARD,16113,2,12060,0.06,0.26,60397,0.1608,3.2983
Tesla Model Y,75000,STANDARD,43050,2,6251,0.29,0.25,27703,0.08334666666666667,3.145
Tesla Model Y,75000,STANDARD,1885,2,18033,0.19,0.27,33888,0.24044,3.4462
Skoda Enyaq,77000,STANDARD,8598,0,10522,0.25,0.39,66695,0.13664935064935066,3.2559
Skoda Enyaq,77000,STANDARD,37703,1,13151,0.17,0.36,66752,0.1707922077922078,3.318
Tesla Model Y,75000,STANDARD,12360,1,12028,0.31,0.23,36475,0.16037333333333334,3.2974
